new entry "Shout_MorningRitual"
type "SpellData"
data "SpellType" "Shout"
data "Level" "1"
data "SpellSchool" "Transmutation"
data "SpellProperties" "ApplyStatus(FEATHER_FALL,100,-1);ApplyStatus(LONG_JUMP,100,-1);ApplyStatus(PETPAL,100,-1);ApplyStatus(LONGSTRIDER,100,-1)"
data "TooltipStatusApply" "ApplyStatus(FEATHER_FALL,100,-1);ApplyStatus(LONG_JUMP,100,-1);ApplyStatus(PETPAL,100,-1);ApplyStatus(LONGSTRIDER,100,-1)"
data "AreaRadius" "9"
data "TargetConditions" "Ally()"
data "Icon" "Spell_Transmutation_FeatherFall"
data "DisplayName" "ha93df1e0gb514g4434ga655gc17d6874baf5;1"
data "Description" "h9c8e5f54g892eg4885gbc0bgdfacfd69aa2b;8"
data "CastSound" "Spell_Cast_Utility_FeatherFall_L1to3"
data "TargetSound" "Spell_Impact_Utility_FeatherFall_L1to3"
data "VocalComponentSound" "Vocal_Component_GrantFeatherFall"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1"
data "SpellAnimation" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197,,;,,;9d86c202-31a5-4ba3-ae60-ec4fbb425665,,;a4112e22-e36f-44ff-828f-81252360da53,,;cc5b0caf-3ed1-4711-a50d-11dc3f1fdc6a,,;,,;1715b877-4512-472e-9bd0-fd568a112e90,,;,,;,,"
data "VerbalIntent" "Utility"
data "SpellFlags" "IsSpell;HasVerbalComponent;RangeIgnoreVerticalThreshold"
data "HitAnimationType" "MagicalNonDamage"
data "MemoryCost" "1"
data "PrepareEffect" "91bb5a96-ffb7-4b6f-9b77-21eb82205630"
data "CastEffect" "1a966496-91e6-40b5-b76b-cb863c388ed2"
data "TargetEffect" "c93e451d-fff8-4e92-aeff-d0b03faaa848"
data "RitualCosts" "ActionPoint:1"
